gender,distance_m,age,factor
F,1609.344,5,0.7220
F,1609.344,6,0.7513
F,1609.344,7,0.7792
F,1609.344,8,0.8057
F,1609.344,9,0.8308
F,1609.344,10,0.8545
F,1609.344,11,0.8768
F,1609.344,12,0.8977
F,1609.344,13,0.9172
F,1609.344,14,0.9353
F,1609.344,15,0.9520
F,1609.344,16,0.9680
F,1609.344,17,0.9840
F,1609.344,18,0.9960
F,1609.344,19,1.0000
F,1609.344,20,1.0000
F,1609.344,21,1.0000
F,1609.344,22,1.0000
F,1609.344,23,1.0000
F,1609.344,24,1.0000
F,1609.344,25,1.0000
F,1609.344,26,1.0000
F,1609.344,27,1.0000
F,1609.344,28,1.0000
F,1609.344,29,1.0000
F,1609.344,30,1.0000
F,1609.344,31,1.0000
F,1609.344,32,1.0000
F,1609.344,33,1.0000
F,1609.344,34,1.0000
F,1609.344,35,0.9938
F,1609.344,36,0.9911
F,1609.344,37,0.9878
F,1609.344,38,0.9840
F,1609.344,39,0.9797
F,1609.344,40,0.9748
F,1609.344,41,0.9695
F,1609.344,42,0.9636
F,1609.344,43,0.9573
F,1609.344,44,0.9504
F,1609.344,45,0.9430
F,1609.344,46,0.9351
F,1609.344,47,0.9266
F,1609.344,48,0.9177
F,1609.344,49,0.9082
F,1609.344,50,0.8985
F,1609.344,51,0.8888
F,1609.344,52,0.8791
F,1609.344,53,0.8694
F,1609.344,54,0.8597
F,1609.344,55,0.8500
F,1609.344,56,0.8403
F,1609.344,57,0.8306
F,1609.344,58,0.8209
F,1609.344,59,0.8111
F,1609.344,60,0.8014
F,1609.344,61,0.7917
F,1609.344,62,0.7820
F,1609.344,63,0.7723
F,1609.344,64,0.7626
F,1609.344,65,0.7529
F,1609.344,66,0.7432
F,1609.344,67,0.7335
F,1609.344,68,0.7238
F,1609.344,69,0.7140
F,1609.344,70,0.7043
F,1609.344,71,0.6946
F,1609.344,72,0.6849
F,1609.344,73,0.6752
F,1609.344,74,0.6655
F,1609.344,75,0.6558
F,1609.344,76,0.6461
F,1609.344,77,0.6364
F,1609.344,78,0.6267
F,1609.344,79,0.6168
F,1609.344,80,0.6062
F,1609.344,81,0.5946
F,1609.344,82,0.5821
F,1609.344,83,0.5686
F,1609.344,84,0.5542
F,1609.344,85,0.5388
F,1609.344,86,0.5225
F,1609.344,87,0.5053
F,1609.344,88,0.4871
F,1609.344,89,0.4680
F,1609.344,90,0.4480
F,1609.344,91,0.4270
F,1609.344,92,0.4051
F,1609.344,93,0.3822
F,1609.344,94,0.3584
F,1609.344,95,0.3336
F,1609.344,96,0.3079
F,1609.344,97,0.2813
F,1609.344,98,0.2537
F,1609.344,99,0.2252
F,5000,5,0.6903
F,5000,6,0.7222
F,5000,7,0.7527
F,5000,8,0.7816
F,5000,9,0.8091
F,5000,10,0.8351
F,5000,11,0.8596
F,5000,12,0.8827
F,5000,13,0.9042
F,5000,14,0.9243
F,5000,15,0.9433
F,5000,16,0.9622
F,5000,17,0.9811
F,5000,18,0.9953
F,5000,19,1.0000
F,5000,20,1.0000
F,5000,21,1.0000
F,5000,22,1.0000
F,5000,23,1.0000
F,5000,24,1.0000
F,5000,25,1.0000
F,5000,26,1.0000
F,5000,27,0.9997
F,5000,28,0.9990
F,5000,29,0.9977
F,5000,30,0.9959
F,5000,31,0.9936
F,5000,32,0.9908
F,5000,33,0.9875
F,5000,34,0.9836
F,5000,35,0.9793
F,5000,36,0.9744
F,5000,37,0.9691
F,5000,38,0.9632
F,5000,39,0.9568
F,5000,40,0.9499
F,5000,41,0.9425
F,5000,42,0.9346
F,5000,43,0.9262
F,5000,44,0.9172
F,5000,45,0.9078
F,5000,46,0.8980
F,5000,47,0.8883
F,5000,48,0.8786
F,5000,49,0.8689
F,5000,50,0.8592
F,5000,51,0.8495
F,5000,52,0.8398
F,5000,53,0.8301
F,5000,54,0.8204
F,5000,55,0.8107
F,5000,56,0.8009
F,5000,57,0.7912
F,5000,58,0.7815
F,5000,59,0.7718
F,5000,60,0.7621
F,5000,61,0.7524
F,5000,62,0.7427
F,5000,63,0.7330
F,5000,64,0.7233
F,5000,65,0.7136
F,5000,66,0.7038
F,5000,67,0.6941
F,5000,68,0.6844
F,5000,69,0.6747
F,5000,70,0.6650
F,5000,71,0.6553
F,5000,72,0.6456
F,5000,73,0.6359
F,5000,74,0.6262
F,5000,75,0.6165
F,5000,76,0.6067
F,5000,77,0.5970
F,5000,78,0.5868
F,5000,79,0.5758
F,5000,80,0.5640
F,5000,81,0.5515
F,5000,82,0.5382
F,5000,83,0.5242
F,5000,84,0.5094
F,5000,85,0.4938
F,5000,86,0.4775
F,5000,87,0.4604
F,5000,88,0.4426
F,5000,89,0.4240
F,5000,90,0.4046
F,5000,91,0.3845
F,5000,92,0.3636
F,5000,93,0.3419
F,5000,94,0.3195
F,5000,95,0.2964
F,5000,96,0.2725
F,5000,97,0.2478
F,5000,98,0.2223
F,5000,99,0.1961
F,6000,5,0.6889
F,6000,6,0.7212
F,6000,7,0.7519
F,6000,8,0.7810
F,6000,9,0.8086
F,6000,10,0.8346
F,6000,11,0.8590
F,6000,12,0.8819
F,6000,13,0.9032
F,6000,14,0.9229
F,6000,15,0.9414
F,6000,16,0.9595
F,6000,17,0.9777
F,6000,18,0.9918
F,6000,19,0.9979
F,6000,20,0.9995
F,6000,21,1.0000
F,6000,22,1.0000
F,6000,23,1.0000
F,6000,24,1.0000
F,6000,25,1.0000
F,6000,26,1.0000
F,6000,27,0.9998
F,6000,28,0.9992
F,6000,29,0.9981
F,6000,30,0.9965
F,6000,31,0.9943
F,6000,32,0.9917
F,6000,33,0.9887
F,6000,34,0.9850
F,6000,35,0.9810
F,6000,36,0.9764
F,6000,37,0.9714
F,6000,38,0.9658
F,6000,39,0.9597
F,6000,40,0.9532
F,6000,41,0.9461
F,6000,42,0.9386
F,6000,43,0.9306
F,6000,44,0.9220
F,6000,45,0.9131
F,6000,46,0.9037
F,6000,47,0.8942
F,6000,48,0.8847
F,6000,49,0.8750
F,6000,50,0.8652
F,6000,51,0.8555
F,6000,52,0.8457
F,6000,53,0.8360
F,6000,54,0.8262
F,6000,55,0.8164
F,6000,56,0.8066
F,6000,57,0.7968
F,6000,58,0.7871
F,6000,59,0.7773
F,6000,60,0.7675
F,6000,61,0.7578
F,6000,62,0.7480
F,6000,63,0.7383
F,6000,64,0.7285
F,6000,65,0.7187
F,6000,66,0.7089
F,6000,67,0.6991
F,6000,68,0.6894
F,6000,69,0.6796
F,6000,70,0.6698
F,6000,71,0.6601
F,6000,72,0.6503
F,6000,73,0.6406
F,6000,74,0.6308
F,6000,75,0.6210
F,6000,76,0.6111
F,6000,77,0.6010
F,6000,78,0.5904
F,6000,79,0.5790
F,6000,80,0.5668
F,6000,81,0.5538
F,6000,82,0.5401
F,6000,83,0.5257
F,6000,84,0.5105
F,6000,85,0.4945
F,6000,86,0.4777
F,6000,87,0.4602
F,6000,88,0.4420
F,6000,89,0.4230
F,6000,90,0.4032
F,6000,91,0.3826
F,6000,92,0.3613
F,6000,93,0.3392
F,6000,94,0.3164
F,6000,95,0.2928
F,6000,96,0.2685
F,6000,97,0.2434
F,6000,98,0.2175
F,6000,99,0.1909
F,6437.376,5,0.6884
F,6437.376,6,0.7208
F,6437.376,7,0.7516
F,6437.376,8,0.7808
F,6437.376,9,0.8084
F,6437.376,10,0.8344
F,6437.376,11,0.8588
F,6437.376,12,0.8816
F,6437.376,13,0.9028
F,6437.376,14,0.9224
F,6437.376,15,0.9406
F,6437.376,16,0.9585
F,6437.376,17,0.9763
F,6437.376,18,0.9905
F,6437.376,19,0.9971
F,6437.376,20,0.9993
F,6437.376,21,1.0000
F,6437.376,22,1.0000
F,6437.376,23,1.0000
F,6437.376,24,1.0000
F,6437.376,25,1.0000
F,6437.376,26,1.0000
