gender,distance_m,age,factor
F,100,20,1.0000
F,100,21,1.0000
F,100,22,1.0000
F,100,23,1.0000
F,100,24,1.0000
F,100,25,1.0000
F,100,26,1.0000
F,100,27,1.0000
F,100,28,1.0000
F,100,29,1.0000
F,100,30,1.0000
F,100,31,1.0000
F,100,32,1.0000
F,100,33,1.0000
F,100,34,1.0000
F,100,35,1.0000
F,100,36,1.0000
F,100,37,1.0000
F,100,38,0.9960
F,100,39,0.9885
F,100,40,0.9810
F,100,41,0.9735
F,100,42,0.9661
F,100,43,0.9588
F,100,44,0.9514
F,100,45,0.9441
F,100,46,0.9368
F,100,47,0.9295
F,100,48,0.9223
F,100,49,0.9151
F,100,50,0.9080
F,100,51,0.9008
F,100,52,0.8937
F,100,53,0.8866
F,100,54,0.8796
F,100,55,0.8726
F,100,56,0.8656
F,100,57,0.8586
F,100,58,0.8517
F,100,59,0.8447
F,100,60,0.8379
F,100,61,0.8310
F,100,62,0.8242
F,100,63,0.8174
F,100,64,0.8106
F,100,65,0.8038
F,100,66,0.7971
F,100,67,0.7904
F,100,68,0.7838
F,100,69,0.7771
F,100,70,0.7705
F,100,71,0.7639
F,100,72,0.7573
F,100,73,0.7508
F,100,74,0.7442
F,100,75,0.7377
F,100,76,0.7313
F,100,77,0.7248
F,100,78,0.7184
F,100,79,0.7114
F,100,80,0.7040
F,100,81,0.6960
F,100,82,0.6875
F,100,83,0.6785
F,100,84,0.6690
F,100,85,0.6590
F,100,86,0.6484
F,100,87,0.6373
F,100,88,0.6258
F,100,89,0.6137
F,100,90,0.6011
F,100,91,0.5879
F,100,92,0.5743
F,100,93,0.5601
F,100,94,0.5454
F,100,95,0.5302
F,100,96,0.5145
F,100,97,0.4983
F,100,98,0.4815
F,100,99,0.4642
F,100,100,0.4464
F,100,101,0.4281
F,100,102,0.4093
F,100,103,0.3900
F,100,104,0.3701
F,100,105,0.3497
F,100,106,0.3288
F,100,107,0.3074
F,100,108,0.2854
F,100,109,0.2630
F,100,110,0.2400
F,200,20,1.0000
F,200,21,1.0000
F,200,22,1.0000
F,200,23,1.0000
F,200,24,1.0000
F,200,25,1.0000
F,200,26,1.0000
F,200,27,1.0000
F,200,28,1.0000
F,200,29,1.0000
F,200,30,1.0000
F,200,31,1.0000
F,200,32,1.0000
F,200,33,1.0000
F,200,34,1.0000
F,200,35,1.0000
F,200,36,1.0000
F,200,37,1.0000
F,200,38,0.9939
F,200,39,0.9863
F,200,40,0.9787
F,200,41,0.9712
F,200,42,0.9636
F,200,43,0.9561
F,200,44,0.9486
F,200,45,0.9411
F,200,46,0.9337
F,200,47,0.9262
F,200,48,0.9188
F,200,49,0.9114
F,200,50,0.9040
F,200,51,0.8966
F,200,52,0.8893
F,200,53,0.8819
F,200,54,0.8746
F,200,55,0.8673
F,200,56,0.8600
F,200,57,0.8527
F,200,58,0.8454
F,200,59,0.8382
F,200,60,0.8309
F,200,61,0.8237
F,200,62,0.8165
F,200,63,0.8093
F,200,64,0.8022
F,200,65,0.7950
F,200,66,0.7879
F,200,67,0.7807
F,200,68,0.7736
F,200,69,0.7665
F,200,70,0.7594
F,200,71,0.7524
F,200,72,0.7453
F,200,73,0.7382
F,200,74,0.7312
F,200,75,0.7242
F,200,76,0.7172
F,200,77,0.7102
F,200,78,0.7032
F,200,79,0.6956
F,200,80,0.6875
F,200,81,0.6787
F,200,82,0.6693
F,200,83,0.6593
F,200,84,0.6486
F,200,85,0.6374
F,200,86,0.6256
F,200,87,0.6132
F,200,88,0.6002
F,200,89,0.5865
F,200,90,0.5723
F,200,91,0.5574
F,200,92,0.5420
F,200,93,0.5259
F,200,94,0.5092
F,200,95,0.4920
F,200,96,0.4741
F,200,97,0.4556
F,200,98,0.4365
F,200,99,0.4168
F,200,100,0.3965
F,200,101,0.3756
F,200,102,0.3541
F,200,103,0.3319
F,200,104,0.3092
F,200,105,0.2858
F,200,106,0.2619
F,200,107,0.2373
F,200,108,0.2122
F,200,109,0.1864
F,200,110,0.1600
F,400,20,1.0000
F,400,21,1.0000
F,400,22,1.0000
F,400,23,1.0000
F,400,24,1.0000
F,400,25,1.0000
F,400,26,1.0000
F,400,27,1.0000
F,400,28,1.0000
F,400,29,1.0000
F,400,30,1.0000
F,400,31,1.0000
F,400,32,0.9980
F,400,33,0.9915
F,400,34,0.9849
F,400,35,0.9783
F,400,36,0.9716
F,400,37,0.9648
F,400,38,0.9580
F,400,39,0.9511
F,400,40,0.9441
F,400,41,0.9371
F,400,42,0.9300
F,400,43,0.9229
F,400,44,0.9157
F,400,45,0.9084
F,400,46,0.9011
F,400,47,0.8937
F,400,48,0.8862
F,400,49,0.8787
F,400,50,0.8711
F,400,51,0.8635
F,400,52,0.8558
F,400,53,0.8481
F,400,54,0.8403
F,400,55,0.8324
F,400,56,0.8245
F,400,57,0.8166
F,400,58,0.8086
F,400,59,0.8005
F,400,60,0.7924
F,400,61,0.7842
F,400,62,0.7760
F,400,63,0.7677
F,400,64,0.7594
F,400,65,0.7510
F,400,66,0.7426
F,400,67,0.7341
F,400,68,0.7256
F,400,69,0.7171
F,400,70,0.7084
F,400,71,0.6998
F,400,72,0.6911
F,400,73,0.6823
F,400,74,0.6735
F,400,75,0.6647
F,400,76,0.6555
F,400,77,0.6459
F,400,78,0.6359
F,400,79,0.6255
F,400,80,0.6148
F,400,81,0.6037
F,400,82,0.5922
F,400,83,0.5804
F,400,84,0.5682
F,400,85,0.5556
F,400,86,0.5426
F,400,87,0.5292
F,400,88,0.5155
F,400,89,0.5014
F,400,90,0.4869
F,400,91,0.4721
F,400,92,0.4569
F,400,93,0.4413
F,400,94,0.4254
F,400,95,0.4090
F,400,96,0.3923
F,400,97,0.3753
F,400,98,0.3579
F,400,99,0.3400
F,400,100,0.3219
F,400,101,0.3033
F,400,102,0.2844
F,400,103,0.2652
F,400,104,0.2455
F,400,105,0.2255
F,400,106,0.2051
F,400,107,0.1844
F,400,108,0.1633
F,400,109,0.1418
F,400,110,0.1200
F,800,20,1.0000
F,800,21,1.0000
F,800,22,1.0000
F,800,23,1.0000
F,800,24,1.0000
F,800,25,1.0000
F,800,26,1.0000
F,800,27,1.0000
F,800,28,1.0000
F,800,29,1.0000
F,800,30,1.0000
F,800,31,1.0000
F,800,32,1.0000
F,800,33,1.0000
F,800,34,1.0000
F,800,35,0.9929
F,800,36,0.9857
F,800,37,0.9784
F,800,38,0.9710
F,800,39,0.9637
F,800,40,0.9563
F,800,41,0.9490
F,800,42,0.9415
F,800,43,0.9341
F,800,44,0.9267
F,800,45,0.9192
F,800,46,0.9117
F,800,47,0.9041
F,800,48,0.8966
F,800,49,0.8890
F,800,50,0.8814
F,800,51,0.8738
F,800,52,0.8662
F,800,53,0.8585
F,800,54,0.8509
F,800,55,0.8432
F,800,56,0.8355
F,800,57,0.8277
F,800,58,0.8200
F,800,59,0.8122
F,800,60,0.8044
F,800,61,0.7966
F,800,62,0.7888
F,800,63,0.7809
F,800,64,0.7730
F,800,65,0.7651
F,800,66,0.7572
F,800,67,0.7493
F,800,68,0.7414
F,800,69,0.7334
F,800,70,0.7254
F,800,71,0.7174
F,800,72,0.7094
F,800,73,0.7014
F,800,74,0.6933
F,800,75,0.6848
F,800,76,0.6758
F,800,77,0.6664
F,800,78,0.6565
F,800,79,0.6462
F,800,80,0.6354
F,800,81,0.6241
F,800,82,0.6124
F,800,83,0.6003
F,800,84,0.5876
F,800,85,0.5746
F,800,86,0.5610
F,800,87,0.5471
F,800,88,0.5326
F,800,89,0.5177
F,800,90,0.5024
F,800,91,0.4866
F,800,92,0.4703
F,800,93,0.4536
F,800,94,0.4364
F,800,95,0.4188
F,800,96,0.4007
F,800,97,0.3822
F,800,98,0.3632
F,800,99,0.3438
F,800,100,0.3239
F,800,101,0.3035
F,800,102,0.2827
F,800,103,0.2615
F,800,104,0.2398
